Gemeente,Werkloosheidsgraad
Aalst,3.84
Aalter,1.78
Aarlen,9.58
Aarschot,3.09
Aartselaar,3.16
Aat,7.58
Affligem,2.21
Aiseau-Presles,11.00
Alken,2.77
Alveringem,2.09
Amay,7.90
Amel,1.62
Andenne,8.62
Anderlecht,15.72
Anderlues,10.91
Anhée,6.97
Ans,10.97
Anthisnes,6.73
Antoing,8.73
Antwerpen,7.48
Anzegem,1.49
Ardooie,1.99
Arendonk,3.52
As,2.96
Asse,3.49
Assenede,2.56
Assesse,5.25
Attert,2.94
Aubange,6.18
Aubel,6.35
Avelgem,2.50
Awans,7.40
Aywaille,8.49
Baarle-Hertog,3.20
Baelen,6.70
Balen,2.59
Bastenaken,0.30
Beaumont,8.87
Beauraing,8.72
Beernem,2.51
Beerse,3.24
Beersel,2.93
Begijnendijk,2.12
Bekkevoort,2.59
Beloeil,6.55
Bergen,12.46
Beringen,3.37
Berlaar,2.70
Berlare,2.40
Berloz,6.13
Bernissart,9.79
Bertem,2.03
Bertogne,0.14
Bertrix,6.16
Bevekom,6.95
Bever,2.93
Beveren,4.31
Beyne-Heusay,8.97
Bierbeek,2.13
Bilzen,3.27
Binche,10.20
Bitsingen,6.75
Bièvre,7.71
Blankenberge,10.41
Blegny,6.33
Bocholt,1.95
Boechout,3.16
Bonheiden,2.97
Boom,4.75
Boortmeerbeek,2.08
Borgloon,3.72
Borgworm,7.58
Bornem,2.66
Borsbeek,4.93
Bouillon,10.81
Boussu,12.95
Boutersem,2.02
Braives,4.73
Brakel,2.70
Brasschaat,4.46
Brecht,4.12
Bredene,5.79
Bree,2.88
Brugelette,6.12
Brugge,4.97
Brunehaut,5.06
Brussel,15.83
Bullingen,1.82
Butgenbach,1.91
Buggenhout,2.26
Burdinne,5.99
Burg-Reuland,1.85
Celles,6.52
Cerfontaine,7.70
Chapelle-lez-Herlaimont,12.84
Charleroi,14.14
Chastre,6.84
Chatelet,12.94
Chaudfontaine,8.46
Chaumont-Gistoux,6.97
Chimay,10.26
Chiny,6.05
Chièvres,5.12
Ciney,7.43
Clavier,5.12
Colfontaine,11.73
Comblain-au-Pont,8.78
Courcelles,10.81
Court-Saint-Etienne,7.34
Couvin,10.38
Crisnée,6.62
Dalhem,5.23
Damme,3.96
Daverdisse,8.60
De Haan,5.51
De Panne,5.28
De Pinte,2.11
Deerlijk,1.84
Deinze,2.34
Denderleeuw,3.56
Dendermonde,3.24
Dentergem,1.76
Dessel,2.59
Destelbergen,2.94
Diepenbeek,2.92
Diest,3.61
Diksmuide,2.43
Dilbeek,3.30
Dilsen-Stokkem,3.78
Dinant,10.91
Dison,13.75
Doische,9.17
Donceel,5.14
Doornik,9.65
Dour,12.01
Drogenbos,4.15
Duffel,3.30
Durbuy,8.13
Ecaussinnes,7.86
Edegem,3.50
Edingen,6.07
Eeklo,3.59
Eghezee,5.00
Eigenbrakel,6.35
Elsene,11.87
Elzele,5.65
Engis,9.41
Erezee,8.29
Erpe-Mere,2.55
Erquelinnes,11.95
Esneux,8.72
Essen,3.89
Estaimpuis,6.23
Estinnes,8.83
Etalle,3.86
Etterbeek,9.66
Eupen,6.37
Evere,11.90
Evergem,2.77
Faimes,5.71
Farciennes,15.14
Fauvillers,3.24
Fernelmont,4.17
Ferrieres,6.98
Fexhe-le-Haut-Clocher,5.43
Flemalle,10.93
Fleron,8.94
Fleurus,8.71
Floreffe,6.31
Florennes,7.22
Florenville,9.55
Fontaine-l'Eveque,9.67
Fosses-la-Ville,7.42
Frameries,11.28
Frasnes-lez-Anvaing,6.14
Froidchapelle,10.34
Galmaarden,2.06
Ganshoren,12.35
Gavere,2.17
Gedinne,7.82
Geel,3.46
Geer,4.70
Geetbets,2.77
Geldenaken,7.39
Gembloux,6.43
Genepien,6.29
Genk,4.85
Gent,4.87
Geraardsbergen,3.95
Gerpinnes,8.31
Gesves,6.34
Gingelom,3.00
Gistel,3.24
Glabbeek,2.19
Gooik,1.99
Gouvy,4.66
Grace-Hollogne,9.98
Graven,6.34
Grimbergen,3.57
Grobbendonk,3.60
Haacht,2.12
Haaltert,2.19
Habay,4.29
Halen,2.56
Halle,3.00
Ham,2.61
Ham-sur-Heure-Nalinnes,6.28
Hamme,2.99
Hamoir,9.68
Hamois,5.33
Hamont-Achel,3.07
Hannuit,6.72
Harelbeke,2.57
Hasselt,4.00
Hastière,12.71
Havelange,5.93
Hechtel-Eksel,3.05
Heers,3.17
Heist-op-den-Berg,2.83
Helecine,6.09
Hemiksem,3.65
Hensies,12.03
Herbeumont,6.46
Herent,2.42
Herentals,4.40
Herenthout,3.12
Herk-De-Stad,3.14
Herne,2.48
Heron,5.26
Herselt,2.79
Herstal,12.34
Herstappe,0.00
Herve,6.34
Herzele,2.57
Heusden-Zolder,3.72
Heuvelland,2.08
Hoegaarden,2.78
Hoei,11.50
Hoeilaart,2.76
Hoeselt,3.04
Holsbeek,2.03
Honnelles,9.54
Hooglede,1.80
Hoogstraten,2.64
Horebeke,2.16
Hotton,6.97
Houffalize,6.83
Houthalen-Helchteren,3.82
Houthulst,1.87
Houyet,9.14
Hove,2.78
Huldenberg,2.37
Hulshout,2.66
Ichtegem,2.38
Ieper,3.26
Incourt,6.23
Ingelmunster,2.24
Itter,5.69
Izegem,2.55
Jabbeke,2.74
Jalhay,5.22
Jemeppe-sur-Sambre,8.13
Jette,12.90
Juprelle,6.21
Jurbeke,6.23
Kalmthout,3.45
Kampenhout,2.11
Kapelle-op-den-Bos,1.60
Kapellen,4.50
Kaprijke,2.28
Kasteelbrakel,7.03
Kasterlee,3.16
Keerbergen,2.41
Kelmis,6.62
Kinrooi,2.91
Kluisbergen,2.67
Knokke-Heist,7.09
Koekelare,2.05
Koekelberg,13.50
Koksijde,5.34
Komen-Waasten,8.20
Kontich,2.48
Kortemark,1.69
Kortenaken,2.24
Kortenberg,2.56
Kortessem,3.26
Kortrijk,3.65
Kraainem,3.60
Kruibeke,3.65
Kruisem,2.03
Kuurne,2.38
La Bruyère,5.08
erhulpen,8.24
La Louvière,12.59
La Roche-en-Ardenne,7.96
Laakdal,2.67
Laarne,2.61
Lanaken,3.71
Landen,3.34
Langemark-Poelkapelle,1.82
Lasne,7.57
Le Roeulx,8.32
Lebbeke,2.45
Lede,3.01
Ledegem,1.72
Leglise,3.66
Lendelede,1.73
Lennik,2.02
Lens,6.50
Leopoldsburg,3.43
Les Bons Villers,6.07
Lessen,8.18
Leuven,3.23
Leuze-en-Hainaut,7.79
Libin,4.62
Libramont-Chevigny,5.91
Lichtervelde,1.34
Liedekerke,2.90
Lier,4.18
Lierde,2.42
Lierneux,5.98
Lievegem,2.45
Lijsem,6.36
Lille,3.72
Limburg,7.92
Linkebeek,6.73
Lint,2.37
Linter,2.33
Lo-Reninge,1.27
Lobbes,7.61
Lochristi,2.39
Lokeren,3.42
Lommel,2.91
Londerzeel,2.21
Lontzen,4.69
Lubbeek,1.85
Luik,15.09
Lummen,2.62
Maarkedal,1.71
Maaseik,3.21
Maasmechelen,4.70
Machelen,3.82
Maldegem,2.64
Malle,3.17
Malmedy,5.76
Manage,12.20
Manhay,4.23
Marche-en-Famenne,7.62
Marchin,7.82
Martelange,6.57
Mechelen,4.63
Meerhout,3.35
Meise,2.89
Meix-Devant-Virton,4.76
Melle,2.49
Menen,3.99
Merbes-Le-Château,9.11
Merchtem,2.42
Merelbeke,2.56
Merksplas,2.64
Mesen,1.88
Messancy,4.90
Mettet,6.21
Meulebeke,1.86
Middelkerke,4.88
Modave,5.81
Moerbeke,2.51
Moeskroen,8.99
Mol,3.51
Momignies,8.78
Mont-de-l'Enclus,3.00
Mont-Saint-Guibert,6.07
Montigny-le-Tilleul,8.10
Moorslede,1.99
Morlanwelz,10.07
Mortsel,4.13
Musson,5.86
Namen,10.54
Nandrin,6.46
Nassogne,6.28
Nazareth,2.44
Neufchâteau,5.78
Neupre,7.40
Niel,3.10
Nieuwerkerken,2.53
Nieuwpoort,5.04
Nijlen,3.02
Nijvel,8.54
Ninove,3.13
Oerle,7.17
Ohey,5.79
Olen,3.23
Olne,4.81
Onhaye,7.62
Oostende,7.35
Oosterzele,1.93
Oostkamp,2.70
Oostrozebeke,1.98
Opwijk,2.51
Opzullik,6.23
Orp-Jauche,6.05
Ottignies-Louvain-La-Neuve,7.69
Oud-Heverlee,2.11
Oud-Turnhout,3.80
Oudenaarde,3.24
Oudenburg,3.62
Oudergem,8.81
Oudsbergen,2.43
Ouffet,5.42
Oupeye,9.63
Overijse,2.84
Paliseul,6.74
Pecq,7.06
Peer,2.45
Pelt,2.99
Pepingen,1.79
Pepinster,9.45
Peruwelz,9.12
Perwijs,5.56
Philippeville,9.07
Pittem,2.32
Plombières,6.42
Pont-à-Celles,6.97
Poperinge,2.50
Profondeville,7.45
Putte,2.36
Puurs-Sint-Amands,2.62
Quaregnon,11.41
Quevy,6.45
Quievrain,14.15
Raeren,3.42
Ramillies,6.34
Ranst,3.23
Ravels,3.19
Rebecq,6.98
Remicourt,6.19
Rendeux,5.47
Retie,3.44
Riemst,2.97
Rijkevorsel,2.59
Rixensart,7.93
Rochefort,7.65
Roeselare,3.52
Ronse,6.10
Roosdaal,1.86
Rotselaar,1.84
Rouvroy,7.56
Ruiselede,1.94
Rumes,4.39
Rumst,2.28
's Gravenbrakel,8.21
Saint-Georges-sur-Meuse,8.10
Saint-Ghislain,9.12
Saint-Hubert,5.62
Saint-Leger,3.87
Saint-Nicolas,11.34
Sainte-Ode,5.18
Sambreville,9.38
Sankt Vith,2.10
Schaarbeek,14.03
Schelle,2.39
Scherpenheuvel-Zichem,2.69
Schilde,4.27
Schoten,4.43
Seneffe,8.31
Seraing,13.57
Sint-Agatha-Berchem,13.42
Sint-Genesius-Rode,4.35
Sint-Gillis,16.91
Sint-Gillis-Waas,3.71
Sint-Jans-Molenbeek,17.38
Sint-Joost-Ten-Node,16.35
Sint-Katelijne-Waver,2.75
Sint-Lambrechts-Woluwe,8.53
Sint-Laureins,2.52
Sint-Lievens-Houtem,2.40
Sint-Martens-Latem,4.23
Sint-Niklaas,4.77
Sint-Pieters-Leeuw,3.31
Sint-Pieters-Woluwe,8.20
Sint-Truiden,4.32
Sivry-Rance,7.67
Sombreffe,5.93
Somme-Leuze,5.57
Soumagne,6.92
Spa,8.86
Spiere-Helkijn,3.69
Sprimont,6.19
Stabroek,4.72
Staden,1.86
Stavelot,6.15
Steenokkerzeel,2.39
Stekene,3.12
Stoumont,6.29
Tellin,7.33
Temse,3.56
Tenneville,3.38
Ternat,2.06
Tervuren,2.85
Tessenderlo,2.57
Theux,5.78
Thimister-Clermont,4.53
Thuin,8.26
Tielt,2.64
Tielt-Winge,2.64
Tienen,3.81
Tinlot,4.98
Tintigny,4.23
Tongeren,4.07
Torhout,3.22
Tremelo,2.65
Trois-Ponts,7.00
Trooz,8.48
Tubeke,7.73
Turnhout,6.00
Ukkel,11.78
Vaux-sur-Sûre,3.61
Verlaine,5.69
Verviers,14.21
Veurne,2.36
Vielsalm,7.07
Villers-La-Ville,5.53
Villers-le-Bouillet,6.87
Vilvoorde,3.93
Viroinval,11.59
Virton,6.74
Vleteren,1.48
Vloesberg,7.06
Voeren,3.00
Vorselaar,3.19
Vorst,16.77
Vosselaar,3.18
Vresse-Sur-Semois,8.21
Waasmunster,2.57
Wachtebeke,2.39
Weismes,5.35
Walcourt,7.76
Walhain,5.49
Wanze,7.53
Waregem,2.44
Wasseiges,5.79
Waterloo,7.95
Watermaal-Bosvoorde,11.27
Waver,7.18
Welkenraedt,7.01
Wellen,2.98
Wellin,5.47
Wemmel,3.89
Wervik,3.54
Westerlo,3.05
Wetteren,3.23
Wevelgem,2.09
Wezembeek-Oppem,3.82
Wezet,8.49
Wichelen,2.71
Wielsbeke,1.80
Wijnegem,4.20
Willebroek,4.19
Wingene,2.00
Wommelgem,4.29
Wortegem-Petegem,1.80
Wuustwezel,3.73
Yvoir,6.29
Zandhoven,3.48
Zaventem,3.67
Zedelgem,2.25
Zele,3.51
Zelzate,3.39
Zemst,2.01
Zinnik,8.34
Zoersel,3.19
Zonhoven,2.94
Zonnebeke,1.39
Zottegem,2.67
Zoutleeuw,2.84
Zuienkerke,4.03
Zulte,2.05
Zutendaal,2.94
Zwalm,2.30
Zwevegem,2.17
Zwijndrecht,4.99