Entity,Year,Disasters
Extreme weather,1973,22
Flood,1973,20
Volcanic activity,1973,1
Wet mass movement,1973,5
Wildfire,1973,2
All disasters,1974,75
All disasters excluding earthquakes,1974,69
All disasters excluding extreme temperature,1974,75
Drought,1974,13
Earthquake,1974,6
Extreme weather,1974,28
Flood,1974,18
Wet mass movement,1974,10
All disasters,1975,70
All disasters excluding earthquakes,1975,65
All disasters excluding extreme temperature,1975,67
Drought,1975,12
Earthquake,1975,5
Extreme temperature,1975,3
Extreme weather,1975,25
Flood,1975,17
Volcanic activity,1975,3
Wet mass movement,1975,5
All disasters,1976,88
All disasters excluding earthquakes,1976,67
All disasters excluding extreme temperature,1976,88
Drought,1976,9
Earthquake,1976,21
Extreme weather,1976,30
Flood,1976,16
Volcanic activity,1976,5
Wet mass movement,1976,6
Wildfire,1976,1
All disasters,1977,120
All disasters excluding earthquakes,1977,106
All disasters excluding extreme temperature,1977,119
Drought,1977,20
Earthquake,1977,14
Extreme temperature,1977,1
Extreme weather,1977,29
Flood,1977,47
Volcanic activity,1977,5
Wet mass movement,1977,3
Wildfire,1977,1
All disasters,1978,115
All disasters excluding earthquakes,1978,106
All disasters excluding extreme temperature,1978,114
Drought,1978,15
Earthquake,1978,9
Extreme temperature,1978,1
Extreme weather,1978,38
Flood,1978,47
Volcanic activity,1978,2
Wet mass movement,1978,2
Wildfire,1978,1
All disasters,1979,116
All disasters excluding earthquakes,1979,94
All disasters excluding extreme temperature,1979,112
Drought,1979,14
Earthquake,1979,22
Extreme temperature,1979,4
Extreme weather,1979,30
Flood,1979,34
Volcanic activity,1979,4
Wet mass movement,1979,7
Wildfire,1979,1
All disasters,1980,124
All disasters excluding earthquakes,1980,107
All disasters excluding extreme temperature,1980,121
Drought,1980,21
Dry mass movement,1980,1
Earthquake,1980,17
Extreme temperature,1980,3
Extreme weather,1980,36
Flood,1980,39
Volcanic activity,1980,2
Wet mass movement,1980,4
Wildfire,1980,1
All disasters,1981,139
All disasters excluding earthquakes,1981,124
All disasters excluding extreme temperature,1981,137
Drought,1981,23
Earthquake,1981,15
Extreme temperature,1981,2
Extreme weather,1981,47
Flood,1981,41
Volcanic activity,1981,1
Wet mass movement,1981,8
Wildfire,1981,2
All disasters,1982,164
All disasters excluding earthquakes,1982,149
All disasters excluding extreme temperature,1982,161
Drought,1982,29
Dry mass movement,1982,1
Earthquake,1982,15
Extreme temperature,1982,3
Extreme weather,1982,51
Flood,1982,48
Volcanic activity,1982,3
Wet mass movement,1982,12
Wildfire,1982,2
All disasters,1983,223
All disasters excluding earthquakes,1983,197
All disasters excluding extreme temperature,1983,221
Drought,1983,54
Dry mass movement,1983,3
Earthquake,1983,26
Extreme temperature,1983,2
Extreme weather,1983,55
Flood,1983,49
Volcanic activity,1983,7
Wet mass movement,1983,16
Wildfire,1983,11
All disasters,1984,164
All disasters excluding earthquakes,1984,151
All disasters excluding extreme temperature,1984,163
Drought,1984,30
Earthquake,1984,13
Extreme temperature,1984,1
Extreme weather,1984,54
Flood,1984,46
Volcanic activity,1984,7
Wet mass movement,1984,6
Wildfire,1984,7
All disasters,1985,173
All disasters excluding earthquakes,1985,156
All disasters excluding extreme temperature,1985,165
Drought,1985,20
Dry mass movement,1985,2
Earthquake,1985,17
Extreme temperature,1985,8
Extreme weather,1985,49
Flood,1985,57
Volcanic activity,1985,2
Wet mass movement,1985,6
Wildfire,1985,12
All disasters,1986,147
All disasters excluding earthquakes,1986,126
All disasters excluding extreme temperature,1986,145
Drought,1986,6
Earthquake,1986,21
Extreme temperature,1986,2
Extreme weather,1986,53
Flood,1986,49
Volcanic activity,1986,2
Wet mass movement,1986,9
Wildfire,1986,5
All disasters,1987,183
All disasters excluding earthquakes,1987,168
All disasters excluding extreme temperature,1987,178
Drought,1987,16
Dry mass movement,1987,1
Earthquake,1987,15
Extreme temperature,1987,5
Extreme weather,1987,57
Flood,1987,66
Volcanic activity,1987,2
Wet mass movement,1987,14
Wildfire,1987,7
All disasters,1988,199
All disasters excluding earthquakes,1988,184
All disasters excluding extreme temperature,1988,193
Drought,1988,21
Dry mass movement,1988,3
Earthquake,1988,15
Extreme temperature,1988,6
Extreme weather,1988,60
Flood,1988,75
Volcanic activity,1988,4
Wet mass movement,1988,15
All disasters,1989,172
All disasters excluding earthquakes,1989,153
All disasters excluding extreme temperature,1989,167
Drought,1989,9
Dry mass movement,1989,3
Earthquake,1989,19
Extreme temperature,1989,5
Extreme weather,1989,72
Flood,1989,46
Volcanic activity,1989,1
Wet mass movement,1989,15
Wildfire,1989,2
All disasters,1990,278
All disasters excluding earthquakes,1990,237
All disasters excluding extreme temperature,1990,265
Drought,1990,16
Dry mass movement,1990,2
Earthquake,1990,41
Extreme temperature,1990,13
Extreme weather,1990,135
Flood,1990,60
Volcanic activity,1990,2
Wet mass movement,1990,5
Wildfire,1990,4
All disasters,1991,236
All disasters excluding earthquakes,1991,207
All disasters excluding extreme temperature,1991,228
Drought,1991,27
Dry mass movement,1991,3
Earthquake,1991,29
Extreme temperature,1991,8
Extreme weather,1991,66
Flood,1991,76
Volcanic activity,1991,10
Wet mass movement,1991,9
Wildfire,1991,8
All disasters,1992,220
All disasters excluding earthquakes,1992,195
All disasters excluding extreme temperature,1992,212
Drought,1992,27
Dry mass movement,1992,4
Earthquake,1992,25
Extreme temperature,1992,8
Extreme weather,1992,76
Flood,1992,59
Volcanic activity,1992,5
Wet mass movement,1992,8
Wildfire,1992,8
All disasters,1993,268
All disasters excluding earthquakes,1993,248
All disasters excluding extreme temperature,1993,264
Drought,1993,18
Dry mass movement,1993,2
Earthquake,1993,20
Extreme temperature,1993,4
Extreme weather,1993,107
Flood,1993,84
Volcanic activity,1993,6
Wet mass movement,1993,25
Wildfire,1993,2
All disasters,1994,252
All disasters excluding earthquakes,1994,227
All disasters excluding extreme temperature,1994,243
Drought,1994,20
Earthquake,1994,25
Extreme temperature,1994,9
Extreme weather,1994,80
Flood,1994,88
Volcanic activity,1994,6
Wet mass movement,1994,11
Wildfire,1994,13
All disasters,1995,254
All disasters excluding earthquakes,1995,228
All disasters excluding extreme temperature,1995,241
Drought,1995,14
Earthquake,1995,26
Extreme temperature,1995,13
Extreme weather,1995,80
Flood,1995,93
Volcanic activity,1995,5
Wet mass movement,1995,16
Wildfire,1995,7
All disasters,1996,231
All disasters excluding earthquakes,1996,218
All disasters excluding extreme temperature,1996,226
Drought,1996,9
Earthquake,1996,13
Extreme temperature,1996,5
Extreme weather,1996,76
Flood,1996,95
Volcanic activity,1996,5
Wet mass movement,1996,24
Wildfire,1996,4
All disasters,1997,263
All disasters excluding earthquakes,1997,240
All disasters excluding extreme temperature,1997,250
Drought,1997,20
Earthquake,1997,23
Extreme temperature,1997,13
Extreme weather,1997,79
Flood,1997,96
Volcanic activity,1997,4
Wet mass movement,1997,13
Wildfire,1997,15
All disasters,1998,300
All disasters excluding earthquakes,1998,270
All disasters excluding extreme temperature,1998,288
Drought,1998,29
Earthquake,1998,30
Extreme temperature,1998,12
Extreme weather,1998,89
Flood,1998,96
Volcanic activity,1998,4
Wet mass movement,1998,22
Wildfire,1998,18
All disasters,1999,343
All disasters excluding earthquakes,1999,310
All disasters excluding extreme temperature,1999,335
Drought,1999,29
Earthquake,1999,33
Extreme temperature,1999,8
Extreme weather,1999,106
Flood,1999,123
Volcanic activity,1999,5
Wet mass movement,1999,18
Wildfire,1999,21
All disasters,2000,424
All disasters excluding earthquakes,2000,394
All disasters excluding extreme temperature,2000,394
Drought,2000,42
Dry mass movement,2000,1
Earthquake,2000,30
Extreme temperature,2000,30
Extreme weather,2000,102
Flood,2000,156
Volcanic activity,2000,5
Wet mass movement,2000,28
Wildfire,2000,30
All disasters,2001,395
All disasters excluding earthquakes,2001,370
All disasters excluding extreme temperature,2001,372
Drought,2001,42
Earthquake,2001,25
Extreme temperature,2001,23
Extreme weather,2001,105
Flood,2001,156
Volcanic activity,2001,6
Wet mass movement,2001,24
Wildfire,2001,14
All disasters,2002,438
All disasters excluding earthquakes,2002,401
All disasters excluding extreme temperature,2002,422
Drought,2002,38
Dry mass movement,2002,1
Earthquake,2002,37
Extreme temperature,2002,16
Extreme weather,2002,123
Flood,2002,173
Volcanic activity,2002,7
Wet mass movement,2002,20
Wildfire,2002,23
All disasters,2003,373
All disasters excluding earthquakes,2003,333
All disasters excluding extreme temperature,2003,346
Drought,2003,23
Earthquake,2003,40
Extreme temperature,2003,27
Extreme weather,2003,87
Flood,2003,159
Volcanic activity,2003,2
Wet mass movement,2003,21
Wildfire,2003,14
All disasters,2004,368
All disasters excluding earthquakes,2004,326
All disasters excluding extreme temperature,2004,349
Drought,2004,19
Dry mass movement,2004,1
Earthquake,2004,42
Extreme temperature,2004,19
Extreme weather,2004,124
Flood,2004,134
Volcanic activity,2004,5
Wet mass movement,2004,16
Wildfire,2004,8
All disasters,2005,435
All disasters excluding earthquakes,2005,410
All disasters excluding extreme temperature,2005,405
Drought,2005,25
Earthquake,2005,25
Extreme temperature,2005,30
Extreme weather,2005,130
Flood,2005,191
Volcanic activity,2005,8
Wet mass movement,2005,13
Wildfire,2005,13
All disasters,2006,430
All disasters excluding earthquakes,2006,406
All disasters excluding extreme temperature,2006,397
Drought,2006,20
Dry mass movement,2006,1
Earthquake,2006,24
Extreme temperature,2006,33
Extreme weather,2006,77
Flood,2006,232
Volcanic activity,2006,12
Wet mass movement,2006,20
Wildfire,2006,11
All disasters,2007,415
All disasters excluding earthquakes,2007,394
All disasters excluding extreme temperature,2007,390
Drought,2007,12
Earthquake,2007,21
Extreme temperature,2007,25
Extreme weather,2007,104
Flood,2007,219
Volcanic activity,2007,6
Wet mass movement,2007,10
Wildfire,2007,18
All disasters,2008,367
All disasters excluding earthquakes,2008,344
All disasters excluding extreme temperature,2008,355
Drought,2008,19
Dry mass movement,2008,3
Earthquake,2008,23
Extreme temperature,2008,12
Extreme weather,2008,112
Flood,2008,174
Volcanic activity,2008,7
Wet mass movement,2008,12
Wildfire,2008,5
All disasters,2009,368
All disasters excluding earthquakes,2009,346
All disasters excluding extreme temperature,2009,341
Drought,2009,31
Dry mass movement,2009,1
Earthquake,2009,22
Extreme temperature,2009,27
Extreme weather,2009,87
Flood,2009,159
Volcanic activity,2009,3
Wet mass movement,2009,29
Wildfire,2009,9
All disasters,2010,415
All disasters excluding earthquakes,2010,391
All disasters excluding extreme temperature,2010,381
Drought,2010,28
Earthquake,2010,24
Extreme temperature,2010,34
Extreme weather,2010,94
Flood,2010,189
Volcanic activity,2010,6
Wet mass movement,2010,33
Wildfire,2010,7
All disasters,2011,351
All disasters excluding earthquakes,2011,321
All disasters excluding extreme temperature,2011,333
Drought,2011,25
Earthquake,2011,30
Extreme temperature,2011,18
Extreme weather,2011,87
Flood,2011,160
Volcanic activity,2011,6
Wet mass movement,2011,17
Wildfire,2011,8
All disasters,2012,364
All disasters excluding earthquakes,2012,337
All disasters excluding extreme temperature,2012,312
Drought,2012,31
Dry mass movement,2012,1
Earthquake,2012,27
Extreme temperature,2012,52
Extreme weather,2012,91
Flood,2012,141
Volcanic activity,2012,1
Wet mass movement,2012,13
Wildfire,2012,7
All disasters,2013,340
All disasters excluding earthquakes,2013,311
All disasters excluding extreme temperature,2013,323
Drought,2013,15
Dry mass movement,2013,1
Earthquake,2013,29
Extreme temperature,2013,17
Extreme weather,2013,105
Flood,2013,149
Volcanic activity,2013,3
Wet mass movement,2013,11
Wildfire,2013,10
All disasters,2014,329
All disasters excluding earthquakes,2014,303
All disasters excluding extreme temperature,2014,311
Drought,2014,21
Earthquake,2014,26
Extreme temperature,2014,18
Extreme weather,2014,99
Flood,2014,139
Volcanic activity,2014,7
Wet mass movement,2014,15
Wildfire,2014,4
All disasters,2015,404
All disasters excluding earthquakes,2015,381
All disasters excluding extreme temperature,2015,390
Drought,2015,39
Dry mass movement,2015,1
Earthquake,2015,23
Extreme temperature,2015,14
Extreme weather,2015,121
Flood,2015,166
Volcanic activity,2015,7
Wet mass movement,2015,20
Wildfire,2015,13
All disasters,2016,349
All disasters excluding earthquakes,2016,319
All disasters excluding extreme temperature,2016,336
Drought,2016,32
Earthquake,2016,30
Extreme temperature,2016,13
Extreme weather,2016,86
Flood,2016,164
Volcanic activity,2016,1
Wet mass movement,2016,13
Wildfire,2016,10
All disasters,2017,364
All disasters excluding earthquakes,2017,342
All disasters excluding extreme temperature,2017,353
Drought,2017,28
Dry mass movement,2017,1
Earthquake,2017,22
Extreme temperature,2017,11
Extreme weather,2017,131
Flood,2017,129
Volcanic activity,2017,2
Wet mass movement,2017,25
Wildfire,2017,15
All disasters,2018,323
All disasters excluding earthquakes,2018,303
All disasters excluding extreme temperature,2018,296
Drought,2018,20
Dry mass movement,2018,1
Earthquake,2018,20
Extreme temperature,2018,27
Extreme weather,2018,96
Flood,2018,128
Volcanic activity,2018,9
Wet mass movement,2018,12
Wildfire,2018,10
All disasters,2019,413
All disasters excluding earthquakes,2019,382
All disasters excluding extreme temperature,2019,390
Drought,2019,28
Earthquake,2019,31
Extreme temperature,2019,23
Extreme weather,2019,92
Flood,2019,195
Volcanic activity,2019,4
Wet mass movement,2019,26
Wildfire,2019,14
All disasters,2020,407
All disasters excluding earthquakes,2020,391
All disasters excluding extreme temperature,2020,401
Drought,2020,20
Earthquake,2020,16
Extreme temperature,2020,6
Extreme weather,2020,126
Flood,2020,206
Volcanic activity,2020,4
Wet mass movement,2020,19
Wildfire,2020,10
All disasters,2021,441
All disasters excluding earthquakes,2021,413
All disasters excluding extreme temperature,2021,438
Drought,2021,25
Earthquake,2021,28
Extreme temperature,2021,3
Extreme weather,2021,121
Flood,2021,222
Glacial lake outburst flood,2021,2
Volcanic activity,2021,9
Wet mass movement,2021,12
Wildfire,2021,19
All disasters,2022,440
All disasters excluding earthquakes,2022,409
All disasters excluding extreme temperature,2022,400
Drought,2022,40
Earthquake,2022,31
Extreme temperature,2022,40
Extreme weather,2022,109
Flood,2022,181
Glacial lake outburst flood,2022,1
Volcanic activity,2022,5
Wet mass movement,2022,17
Wildfire,2022,16
All disasters,2023,410
All disasters excluding earthquakes,2023,378
All disasters excluding extreme temperature,2023,400
Drought,2023,17
Earthquake,2023,32
Extreme temperature,2023,10
Extreme weather,2023,140
Flood,2023,166
Glacial lake outburst flood,2023,1
Volcanic activity,2023,4
Wet mass movement,2023,24
Wildfire,2023,16
All disasters,2024,83
All disasters excluding earthquakes,2024,77
All disasters excluding extreme temperature,2024,81
Drought,2024,7
Earthquake,2024,6
Extreme temperature,2024,2
Extreme weather,2024,24
Flood,2024,31
Volcanic activity,2024,1
Wet mass movement,2024,7
Wildfire,2024,5