Country name,Ladder score,upperwhisker,lowerwhisker,Dystopia + residual,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,share_Dystopia + residual,share_Log GDP per capita,share_Social support,share_Healthy life expectancy,share_Freedom to make life choices,share_Generosity,share_Perceptions of corruption
Finland,7.741,7.815,7.667,2.082,1.844,1.572,0.695,0.859,0.142,0.546,26.89574990311329,23.82121172975068,20.307453817336263,8.978168195323603,11.096757524867588,1.8343883219222323,7.053352280067175
Denmark,7.583,7.665,7.5,1.881,1.908,1.52,0.699,0.823,0.204,0.548,24.80548595542661,25.161545562442306,20.044837135698273,9.217987603850718,10.853224317552419,2.690228141896347,7.226691283133325
Iceland,7.525,7.618,7.433,2.05,1.881,1.617,0.718,0.819,0.258,0.182,27.242524916943516,24.996677740863788,21.488372093023255,9.541528239202657,10.883720930232558,3.428571428571429,2.4186046511627906
Sweden,7.344,7.422,7.267,1.658,1.878,1.501,0.724,0.838,0.221,0.524,22.576252723311544,25.571895424836597,20.43845315904139,9.85838779956427,11.410675381263616,3.009259259259259,7.135076252723311
Israel,7.341,7.405,7.277,2.298,1.803,1.513,0.74,0.641,0.153,0.193,31.30363710666122,24.56068655496526,20.6102710802343,10.080370521727284,8.731780411388094,2.084184715978749,2.6290696090450894
Netherlands,7.319,7.383,7.256,1.906,1.901,1.462,0.706,0.725,0.247,0.372,26.04180899029922,25.973493646673045,19.975406476294573,9.646126520016395,9.905724825795874,3.374777975133215,5.082661565787676
Norway,7.302,7.389,7.215,1.586,1.952,1.517,0.704,0.835,0.224,0.484,21.72007669131745,26.732402081621476,20.7751301013421,9.641194193371678,11.435223226513285,3.067652697890989,6.628321007943029
Luxembourg,7.122,7.213,7.031,1.54,2.141,1.355,0.708,0.801,0.146,0.432,21.62313956753721,30.06178039876439,19.025554619488908,9.941027801179443,11.246840775063186,2.0499859590002805,6.065711878685763
Switzerland,7.06,7.147,6.973,1.488,1.97,1.425,0.747,0.759,0.173,0.498,21.076487252124647,27.90368271954674,20.18413597733711,10.580736543909348,10.75070821529745,2.45042492917847,7.053824362606233
Australia,7.057,7.141,6.973,1.745,1.854,1.461,0.692,0.756,0.225,0.323,24.727221198809694,26.271786878276888,20.702848235794246,9.805866515516508,10.71276746492844,3.1883236502763217,4.5770157290633415
New Zealand,7.029,7.105,6.954,1.567,1.81,1.527,0.673,0.746,0.226,0.48,22.293356096172996,25.75046237018068,21.724285104566793,9.574619433774364,10.613173993455684,3.2152511025750465,6.828851899274434
Costa Rica,6.955,7.051,6.86,2.333,1.561,1.373,0.661,0.797,0.109,0.123,33.54421279654925,22.44428468727534,19.741193386053197,9.5039539899353,11.459381739755573,1.5672178289000718,1.768511861969806
Kuwait,6.951,7.06,6.843,1.884,1.845,1.364,0.661,0.827,0.2,0.172,27.104013810962453,26.542943461372463,19.623075816429296,9.509423104589269,11.897568695151776,2.877283844051216,2.4744641058840453
Austria,6.905,6.986,6.824,1.766,1.885,1.336,0.696,0.703,0.214,0.305,25.575669804489497,27.29905865314989,19.34829833454019,10.079652425778422,10.181028240405503,3.0992034757422156,4.417089065894279
Canada,6.9,6.984,6.815,1.572,1.84,1.459,0.701,0.73,0.23,0.368,22.782608695652172,26.666666666666668,21.144927536231883,10.159420289855072,10.579710144927535,3.3333333333333335,5.333333333333333
Belgium,6.894,6.961,6.827,1.686,1.868,1.44,0.69,0.729,0.17,0.311,24.456048738033072,27.096025529445892,20.887728459530024,10.00870322019147,10.574412532637076,2.465912387583406,4.511169132579054
Ireland,6.838,6.927,6.749,1.239,2.129,1.39,0.7,0.758,0.205,0.418,18.119333138344544,31.13483474700205,20.327581164083064,10.236911377595789,11.085112606025154,2.9979526177244806,6.11289850833577
Czechia,6.822,6.903,6.741,1.858,1.783,1.511,0.638,0.787,0.177,0.068,27.23541483435943,26.136030489592493,22.148929932571093,9.352096159484022,11.536206391087658,2.594547053649956,0.9967751392553504
Lithuania,6.818,6.896,6.739,2.307,1.766,1.454,0.598,0.533,0.044,0.116,33.83690231739513,25.902024053974777,21.325902024053974,8.770900557348197,7.817541801114697,0.6453505426811381,1.7013787034320917
United Kingdom,6.749,6.833,6.665,1.598,1.822,1.326,0.672,0.713,0.267,0.351,23.677581863979853,26.996592087716703,19.647355163727962,9.957030671210552,10.564528078233812,3.956141650614906,5.200770484516225
Slovenia,6.743,6.843,6.643,1.683,1.786,1.502,0.695,0.789,0.157,0.131,24.95921696574225,26.486726976123386,22.274951801868603,10.306985021503781,11.701023283405013,2.3283405012605662,1.9427554500963962
United Arab Emirates,6.733,6.823,6.643,1.741,1.983,1.164,0.563,0.815,0.209,0.258,25.85771572850141,29.451953066983517,17.287984553690777,8.361800089113322,12.104559631664934,3.1041140650527255,3.8318728649933167
United States,6.725,6.818,6.631,1.873,1.939,1.392,0.542,0.586,0.223,0.169,27.85130111524164,28.832713754646843,20.69888475836431,8.059479553903346,8.713754646840147,3.315985130111524,2.513011152416357
Germany,6.719,6.815,6.622,1.513,1.871,1.39,0.702,0.7,0.174,0.368,22.518231879744008,27.84640571513618,20.687602321774072,10.447983330852804,10.41821699657687,2.5896710820062507,5.477005506771841
Mexico,6.678,6.781,6.575,2.437,1.521,1.241,0.544,0.722,0.086,0.127,36.492961964660076,22.776280323450134,18.583408206049718,8.146151542377957,10.81162024558251,1.2878107217729857,1.901766996106619
Uruguay,6.611,6.696,6.527,1.891,1.596,1.431,0.592,0.775,0.106,0.22,28.603842081379522,24.14158221146574,21.645741945242776,8.954772349115112,11.722886098926033,1.6033882922402056,3.3277870216306153
France,6.609,6.685,6.533,1.672,1.818,1.348,0.727,0.65,0.112,0.281,25.298834922075958,27.507943713118475,20.39642911181722,11.000151308821305,9.835073384778333,1.6946587986079589,4.2517778786503255
Saudi Arabia,6.594,6.707,6.48,1.79,1.842,1.361,0.511,0.787,0.114,0.188,27.145890203215046,27.934485896269333,20.639975735517137,7.749469214437367,11.935092508340917,1.7288444040036397,2.851076736427055
Kosovo,6.561,6.667,6.455,2.255,1.364,1.277,0.599,0.739,0.254,0.073,34.36976070720927,20.789513793629023,19.463496418228925,9.129705837524767,11.263526901386983,3.8713610730071637,1.1126352690138697
Singapore,6.523,6.605,6.44,0.788,2.118,1.361,0.769,0.743,0.168,0.575,12.080331135980378,32.469722520312736,20.86463283765139,11.789054116204202,11.390464510194697,2.5755020695998776,8.814962440594819
Taiwan Province of China,6.503,6.597,6.41,1.747,1.842,1.346,0.65,0.649,0.068,0.202,26.864524065815775,28.325388282331232,20.6981393203137,9.995386744579426,9.980009226510841,1.0456712286636938,3.1062586498539138
Romania,6.491,6.592,6.39,2.21,1.699,1.236,0.583,0.717,0.041,0.006,34.047142196888,26.174703435526116,19.041750115544602,8.981666923432446,11.04606378061932,0.6316438145124018,0.09243568017254661
El Salvador,6.469,6.599,6.338,2.424,1.265,1.08,0.549,0.816,0.083,0.253,37.47101561292317,19.55479981449992,16.695006956252897,8.486628536095225,12.614005255835522,1.283042201267584,3.9109599628999847
Estonia,6.448,6.524,6.371,1.138,1.752,1.527,0.657,0.805,0.166,0.401,17.648883374689824,27.1712158808933,23.681761786600493,10.189205955334987,12.484491315136477,2.574441687344913,6.2189826302729525
Poland,6.442,6.513,6.37,1.791,1.738,1.417,0.639,0.6,0.081,0.175,27.801924868053398,26.979199006519718,21.996274448928904,9.919279726792922,9.313877677739832,1.2573734864948773,2.716547656007451
Spain,6.421,6.502,6.339,1.54,1.766,1.471,0.729,0.619,0.119,0.177,23.983803145927425,27.503504127083005,22.909204173804703,11.353371748948762,9.64024295281109,1.8532938794580283,2.756579971966983
Serbia,6.411,6.522,6.3,1.932,1.538,1.391,0.585,0.663,0.2,0.101,30.13570425830604,23.99001715800967,21.697083138355953,9.124941506785213,10.341600374356576,3.119638121977851,1.5754172515988147
Chile,6.36,6.448,6.273,1.858,1.616,1.369,0.673,0.651,0.117,0.075,29.21383647798742,25.40880503144654,21.5251572327044,10.581761006289309,10.235849056603774,1.8396226415094339,1.1792452830188678
Panama,6.358,6.489,6.227,1.806,1.702,1.392,0.633,0.72,0.063,0.043,28.405158854985846,26.76942434727902,21.893677256999055,9.955960994023279,11.324315822585719,0.9908776344762504,0.6763133060710915
Malta,6.346,6.43,6.261,1.267,1.827,1.444,0.707,0.727,0.25,0.125,19.965332492908917,28.789788843365898,22.75449101796407,11.140876142451937,11.456035297825402,3.9394894421682953,1.9697447210841477
Italy,6.324,6.436,6.211,1.777,1.8,1.328,0.72,0.513,0.112,0.074,28.099304237824164,28.4629981024668,20.99936748893106,11.385199240986717,8.111954459203037,1.7710309930423784,1.170145477545857
Guatemala,6.287,6.457,6.117,2.473,1.26,1.169,0.467,0.735,0.105,0.078,39.33513599491013,20.041355177350088,18.593923970097027,7.428026085573405,11.690790520120885,1.6701129314458405,1.2406553205026245
Nicaragua,6.284,6.433,6.135,2.203,1.097,1.263,0.542,0.793,0.133,0.251,35.057288351368555,17.457033736473583,20.0986632718014,8.62507956715468,12.619350732017823,2.1164863144493955,3.994271164863145
Brazil,6.272,6.39,6.154,2.068,1.43,1.269,0.548,0.685,0.13,0.142,32.9719387755102,22.799744897959183,20.2327806122449,8.737244897959185,10.92155612244898,2.072704081632653,2.264030612244898
Slovakia,6.257,6.332,6.182,1.653,1.706,1.54,0.638,0.566,0.096,0.058,26.418411379255236,27.265462681796386,24.612434073837306,10.19657983058974,9.045868627137606,1.534281604602845,0.9269618027808855
Latvia,6.234,6.314,6.155,1.59,1.7,1.508,0.564,0.666,0.127,0.078,25.50529355149182,27.269810715431504,24.189926211100417,9.047160731472568,10.68334937439846,2.0372152710940004,1.2512030798845042
Uzbekistan,6.195,6.303,6.087,1.749,1.212,1.394,0.539,0.835,0.251,0.215,28.232445520581113,19.56416464891041,22.50201775625504,8.700564971751412,13.478611783696529,4.051654560129137,3.4705407586763513
Argentina,6.188,6.306,6.07,1.812,1.562,1.381,0.585,0.681,0.087,0.08,29.282482223658697,25.242404654169366,22.317388493859085,9.453781512605042,11.005171299288948,1.4059469941822884,1.292824822236587
Kazakhstan,6.188,6.278,6.097,1.551,1.622,1.457,0.556,0.733,0.149,0.12,25.06464124111183,26.212023270846803,23.54557207498384,8.985132514544281,11.845507433742728,2.4078862314156435,1.9392372333548804
Cyprus,6.068,6.182,5.954,1.611,1.794,1.217,0.744,0.529,0.124,0.049,26.549110085695453,29.564930784442982,20.0560316413975,12.261041529334213,8.717864205669084,2.0435069215557022,0.8075148319050759
Japan,6.06,6.144,5.976,1.261,1.786,1.354,0.785,0.632,0.023,0.219,20.808580858085808,29.471947194719473,22.343234323432345,12.953795379537954,10.42904290429043,0.3795379537953795,3.6138613861386144
South Korea,6.058,6.148,5.968,1.456,1.815,1.178,0.77,0.555,0.126,0.158,24.034334763948497,29.96038296467481,19.44536150544734,12.710465500165071,9.16143941895015,2.0798943545724664,2.608121492241664
Philippines,6.048,6.166,5.929,2.167,1.232,1.146,0.441,0.826,0.099,0.136,35.830026455026456,20.37037037037037,18.948412698412696,7.291666666666667,13.657407407407407,1.636904761904762,2.248677248677249
Vietnam,6.043,6.138,5.948,1.81,1.331,1.267,0.539,0.843,0.094,0.16,29.952010590766175,22.025484031110373,20.96640741353632,8.919410888631475,13.950024822108222,1.5555187820618896,2.6476915439351316
Portugal,6.03,6.134,5.925,1.397,1.728,1.368,0.699,0.757,0.047,0.035,23.167495854063016,28.656716417910445,22.686567164179106,11.592039800995025,12.553897180762853,0.7794361525704809,0.5804311774461028
Hungary,6.017,6.124,5.91,1.4,1.722,1.528,0.596,0.581,0.123,0.067,23.2674090078112,28.61891307960778,25.39471497423965,9.905268406182483,9.655974738241648,2.044208077114841,1.1135117168023931
Paraguay,5.977,6.085,5.868,1.637,1.398,1.408,0.549,0.788,0.131,0.065,27.38832190061904,23.38966036473147,23.556968378785342,9.185209971557638,13.183871507445208,2.1917349841057385,1.0875020913501756
Thailand,5.976,6.094,5.858,1.463,1.484,1.347,0.62,0.756,0.283,0.024,24.48125836680054,24.832663989290495,22.54016064257028,10.37483266398929,12.650602409638553,4.735609103078983,0.4016064257028113
Malaysia,5.975,6.078,5.872,1.473,1.646,1.143,0.54,0.829,0.226,0.119,24.65271966527197,27.548117154811713,19.129707112970713,9.037656903765692,13.874476987447698,3.7824267782426784,1.99163179916318
China,5.973,6.061,5.885,1.608,1.497,1.239,0.629,0.704,0.132,0.164,26.92114515318935,25.06278252134606,20.743345052737318,10.530721580445338,11.78637200736648,2.2099447513812156,2.745688933534238
Honduras,5.968,6.114,5.822,2.364,1.091,1.035,0.502,0.72,0.175,0.081,39.611260053619304,18.28083109919571,17.34249329758713,8.411528150134048,12.064343163538874,2.9323056300268093,1.3572386058981234
Bahrain,5.959,6.153,5.766,,,,,,,,,,,,,,
Croatia,5.942,6.047,5.837,1.574,1.71,1.445,0.637,0.469,0.064,0.043,26.48939750925614,28.77818916189835,24.31841130932346,10.720296196566812,7.892965331538202,1.0770784247728038,0.7236620666442275
Greece,5.934,6.027,5.84,1.83,1.684,1.276,0.696,0.337,0.018,0.093,30.83923154701719,28.378833838894508,21.50320188742838,11.72901921132457,5.679137175598248,0.3033367037411526,1.5672396359959553
Bosnia and Herzegovina,5.877,5.979,5.775,1.64,1.465,1.318,0.587,0.621,0.246,0.0,27.905393908456695,24.92768419261528,22.426408031308494,9.988089161136635,10.566615620214396,4.185809086268504,0.0
Libya,5.866,5.987,5.746,1.785,1.526,1.1,0.55,0.592,0.111,0.204,30.429594272076372,26.014319809069214,18.752130923968636,9.376065461984318,10.092055915444938,1.8922604841459258,3.4776679168087283
Jamaica,5.842,6.059,5.624,1.907,1.28,1.324,0.567,0.647,0.089,0.028,32.642930503252316,21.910304690174602,22.66347141389935,9.705580280725778,11.074974323861692,1.5234508729887024,0.47928791509756935
Peru,5.841,5.946,5.736,1.907,1.371,1.18,0.662,0.615,0.078,0.029,32.64851908919705,23.472008217770927,20.2020202020202,11.333675740455401,10.529019003595275,1.335387776065742,0.4964903269988016
Dominican Republic,5.823,5.967,5.679,1.512,1.517,1.272,0.511,0.73,0.086,0.196,25.965996908809892,26.051863300704102,21.844410097887685,8.775545251588527,12.536493216555039,1.4769019405804567,3.365962562253134
