,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
A,0.035979731053706755,0.046109052198405366,0.04768405230040402,0.05728920168458029,0.03338273669800729,0.042591406870060654,0.052570485145550586,0.06554680600929737,0.03223795920797174,0.08048151859273217,0.04918986203444195,0.09783773653949734,0.03453702302066065,0.08042792177902705,0.0732926549630198,0.10510462683952035,0.08135066923519019,0.044039457314372525,0.07124896165671675,0.10506336712925264,0.10500705304905837,0.09445759686922345,0.06485187050303969,0.14487659911364292,0.07949261421238696,0.11829764889645904
B,0.020837494094550244,0.04444665741617033,0.031271526512839,0.06292427281629584,0.04193864861897699,0.04159032204943253,0.09505893399328913,0.07550802912931501,0.0664813681455242,0.038674340072687885,0.023328560456402987,0.11552870972209482,0.022239639069441767,0.028134932218183372,0.08473367326578812,0.06539671369855246,0.16432635158805203,0.08372359721477426,0.12173871708675091,0.08110283896379927,0.037160982946152166,0.08468493384942087,0.1711480314052127,0.07892493875327551,0.17258648960034104,0.12062871943246192
C,0.02012168366530726,0.02588452391270318,0.03140200530902456,0.03340688869291154,0.08601972381817195,0.046814460066555985,0.09149455732818892,0.042012048196461274,0.007804315043306898,0.06551028041331941,0.010798834059446946,0.0029142171298005264,0.127373163650393,0.17031763033743155,0.023152615743473465,0.11692317258939197,0.017674950265960554,0.04137571459675313,0.10191008001180352,0.07639394618259801,0.1166264504934807,0.1960490589037474,0.04838633639089811,0.09700729777516276,0.20929550998639634,0.21619442028604652
D,0.029917918849884345,0.011780025847131101,0.022730129057962987,0.04387510091631594,0.021028728127796294,0.07785870556165596,0.04377956523050887,0.04638425137875129,0.016030215194143774,0.028320846081877366,0.058958068412822424,0.019888460627814797,0.08359957964117326,0.11020916994218069,0.12997252902704054,0.12879333871763807,0.0176836940679404,0.09312114662335472,0.018881672663516483,0.0520201634897898,0.0700500303266438,0.049998603878766056,0.21864278426284245,0.015305662537261282,0.0493123685208313,0.08124524540648467
E,0.007199913503950646,0.05177812440473734,0.04623855216755514,0.014577509081197391,0.04096781567208247,0.04004137222988665,0.018923243852742824,0.008850011169905051,0.04114623178504922,0.048518478143171215,0.026060915860469644,0.016895483996832238,0.07365755757503031,0.04919143719321223,0.014025622944538976,0.06275511943902254,0.03763921644751136,0.07796409068254448,0.06422974765623601,0.1050515049622292,0.1115245930513942,0.0547108204745635,0.019463721072474932,0.053262558438669186,0.026774157734177326,0.26056398426903005
F,0.03554403594398391,0.01143742825091481,0.06616491954109979,0.02848559489213289,0.0598860520950288,0.060041468248599746,0.021411496032821744,0.002900158288211418,0.043857615283943496,0.05181268650872681,0.024673293816522134,0.029766198362280567,0.014528660320422406,0.04532613912053125,0.08385984566535114,0.08011965669765551,0.2162540922779745,0.12241819218275313,0.055011759459447473,0.08164552430118496,0.14415280349984527,0.04328250364277959,0.16580165525422727,0.2469174245625469,0.025610375536404804,0.16221433369798455
G,0.035962084501770124,0.004267237177252093,0.020108140309078558,0.03586981939756001,0.032178325283367386,0.05315211975057266,0.06515421784267342,0.09699269529243329,0.025419106726950552,0.042708777862100644,0.03634442085183821,0.08923202184384221,0.030202400447239645,0.03149134815179799,0.15906851115370169,0.04097759326748668,0.03803728806574643,0.11419798039455663,0.05630833647571236,0.10469328603197732,0.2128625103815977,0.07633997756190027,0.26412192690960135,0.010896009746207304,0.054917673598135625,0.0490168934063084
H,0.04381051822927514,0.05113503551067846,0.0189283549541956,0.025471692643677317,0.0746801456226526,0.03016068368263156,0.10377039713089699,0.04827035926771771,0.07979093184882663,0.10463406556821464,0.08148715583586916,0.03822503264690505,0.051637779076872,0.00812784535239313,0.04678028129860381,0.10459741414092825,0.04413173320175766,0.03852357603900866,0.09357457757668229,0.05187116477343866,0.08890720263751546,0.10811190800562016,0.10644369109268308,0.10022627650483168,0.04265942962666756,0.055574118362394787
I,0.04871347195012752,0.03367783765593576,0.01654598345871614,0.051265865859111755,0.09351340255947826,0.08757332316393979,0.048540478190621586,0.10327178065016886,0.03929731156317355,0.08715429022459267,0.04709370449077663,0.022472077655069336,0.047746319934308314,0.029747341756464568,0.05659071908409934,0.01915218880108623,0.05393539519541228,0.0915274147824465,0.05607588406452567,0.09478256220710626,0.030739174561324148,0.24744332109645498,0.08519395942286175,0.0550119972296632,0.11936852051241464,0.2036649154514396
J,0.037930036466253744,0.03192378331283399,0.032253508421937464,0.02107195193764881,0.09289910997745973,0.05190596756199571,0.010526139521098408,0.01536687833252923,0.06034542978393122,0.09639388486307411,0.05434004869983703,0.019354344714034324,0.13752749692220737,0.12614423841382927,0.008890799996841189,0.09287450964502333,0.24793415025404003,0.10886855676846682,0.12968794312103837,0.05611309984961936,0.029006724299260427,0.05535633645184191,0.05614058797267969,0.011035013247682898,0.24059566050993014,0.0322806187023439
K,0.028774280124319686,0.03089142770491664,0.061268797707994885,0.046435084036879355,0.07338565722527468,0.027190342249235673,0.04678339821459403,0.04582355113955324,0.04798544329749383,0.06446761684434854,0.0811939565916999,0.014384568680179633,0.030115859790049736,0.07554992794476326,0.10605043177901266,0.1793755415827467,0.005017494198636149,0.0988717012154482,0.10795375829548053,0.12756765351764732,0.003505754472171556,0.05406432966565958,0.1917902505130749,0.02889480948262003,0.01666426759826333,0.09325980013153738
L,0.08802586462340388,0.04647582747190633,0.029913290875714156,0.011951080172169441,0.03450912842415062,0.05581168717539932,0.06071949848704211,0.057014413820381624,0.11031652374014361,0.006377504547870179,0.013095256824434968,0.07950147985376815,0.05613678828827662,0.0438405574975212,0.08424973039811386,0.06390175923816525,0.031095911268951913,0.06064379651408292,0.09023758668199092,0.026945915831027595,0.07194485931155808,0.2772808657261667,0.0425503356560193,0.08966063586358795,0.05831911175209017,0.09898003417096377
M,0.10163845739566062,0.05204586899062875,0.08016494024209322,0.09818892412806227,0.040818685952355584,0.021491595694938224,0.04152711337509574,0.038889666478216706,0.1031128430205233,0.16942310760324805,0.032811762988111864,0.02318591159020972,0.056560990318779314,0.06314188376987674,0.06269469713768666,0.04018316959771109,0.2392840644117058,0.00341209233966335,0.09608844932981331,0.14180845038056206,0.0967866445579951,0.05971617993097096,0.21008683432771552,0.012236145283696556,0.005525932652152189,0.055407183147392215
N,0.027761691753922076,0.02041752722706714,0.04979794033064083,0.03201766422962151,0.03217746063521097,0.052610404131296654,0.1266874405480969,0.10673499535595546,0.028616153047406633,0.09312134733033517,0.042834258722033725,0.05520529140723323,0.07505301036095323,0.03395750880606415,0.14859738717714097,0.19165815312509138,0.07973043942731119,0.06637549674885168,0.09699880435361674,0.06246425353577885,0.04123970171115475,0.020327517602417945,0.05108567866359614,0.13236572404770777,0.06847810153814475,0.23525687992251995
O,0.09090566007577568,0.0551412105748523,0.05879949788293817,0.09872943361600381,0.14156250444627616,0.15180392875818788,0.031513849408031404,0.08381456159124748,0.1418867606082228,0.04495682454109334,0.04298603278475173,0.06262370598923296,0.05552660743187135,0.26423628206613176,0.1853119236153803,0.053434845729954245,0.059545468048293165,0.2688351327920012,0.03374480944495947,0.23762963016015387,0.07795243521659997,0.07328368195153759,0.17540515831723874,0.08952556717771468,0.08955538486381225,0.15865303653631366
P,0.03993190709799853,0.14666840870577882,0.09237661916573689,0.05109416919799045,0.03458297864662045,0.059105130614984985,0.0455572732401264,0.08633065365497584,0.04565257141124999,0.051952744358051056,0.15727781112884584,0.0706040865908017,0.019316029541180627,0.061932455523024614,0.12649999233525094,0.09188021641266897,0.16022156829797574,0.025530421012801667,0.03922895731161665,0.19500370497833305,0.11183202846517687,0.0581586541267397,0.14805272281245863,0.32112101648128427,0.06371152581068137,0.02027718114656681
Q,0.09234192871850755,0.1611757623103593,0.013945616830678045,0.09905479010608476,0.12147613557535068,0.08525137998000981,0.036707758571076485,0.07999965043638335,0.1392478848606108,0.09322092984355436,0.0938129106518166,0.04788216864481795,0.03921959023252755,0.08744412897565768,0.16706753787322642,0.1288501587335956,0.10792524867645104,0.06179854668515771,0.0501153540776834,0.10960433019999191,0.24411188799273453,0.21220581024755192,0.08177568110129738,0.09546784044915069,0.2795312154059052,0.12060325236176267
R,0.028948051824006202,0.030269118369374494,0.10324017732474866,0.052036006249289536,0.05714451883663365,0.14149565457185678,0.06333195060244423,0.05895874186434378,0.1686312936658598,0.2002488858028758,0.05381456715830757,0.051138583450994556,0.03913745635816788,0.032516437032431865,0.07997304408961603,0.034159133723384125,0.11042611551431634,0.10717764030201558,0.1889865721108398,0.23104650643635166,0.043501791781250104,0.012104790521300823,0.18777394712760387,0.07338881529605293,0.08662602591189762,0.07284619534003396
S,0.04638256413934509,0.04949872861201057,0.023907088300349287,0.04253688323246338,0.09390344733201686,0.09424246843873099,0.0677223910698293,0.03575448879398103,0.0037344868196554364,0.09852422365316132,0.06380044733437937,0.23874630906493446,0.022372890755991803,0.1423040345515221,0.06883453335303878,0.1131590733901373,0.2270430023234894,0.24551886847402976,0.13255252702602208,0.05549814930579181,0.09885413526349482,0.18825430800600426,0.017830934933442816,0.3172513082040061,0.11341762128900283,0.09235499341128933
T,0.12021279601403498,0.08249364399404065,0.05254196200026977,0.030555266525502132,0.12499524519940583,0.1026421518666728,0.08111425010460196,0.14719406148627662,0.07760364792364688,0.06236706247790495,0.1287604756948598,0.02200326646907074,0.1243595528761619,0.14852253244619895,0.06930195294868315,0.05358570840127505,0.17448535981606325,0.06880547846534057,0.25145844148673324,0.029810486151205566,0.07454924095980403,0.20056619345085372,0.04439328460173935,0.06794304257272923,0.10163660382723683,0.07748885052595286
U,0.04475717448442457,0.03601160861054645,0.07689596567685214,0.08080330445581271,0.09024815342365952,0.05754795569854812,0.08627500286778628,0.022277795761374238,0.26734596987787174,0.011205232901030643,0.034439304077856704,0.1279102692804832,0.05620509600234341,0.13432355253305645,0.058651239360422366,0.037909248156835065,0.055204758231497675,0.0598716333932668,0.04104887540777913,0.08183315048208321,0.008716095751660734,0.07556204941899129,0.02673690005511353,0.028315520893750726,0.08495571006208519,0.05138132962802301
V,0.13567053785420166,0.048779229500511195,0.12380975419954782,0.09928713911970403,0.06362860149372723,0.06689379845590702,0.06641845003520863,0.020877299190072578,0.06620624429457665,0.15763475382690662,0.12237733649615382,0.12321703445049001,0.2268946807775738,0.047579121772669444,0.12053695049909698,0.1079626443600531,0.12801642500699442,0.36616155116311455,0.03379729351682957,0.08009371983748244,0.1574126126470699,0.09334755595950177,0.19771024907145643,0.0645496942581529,0.13784252016638018,0.16933377771015415
W,0.01173193016031629,0.07821004049837167,0.04701048043319917,0.001830781313428076,0.10102093131739018,0.12292793112878088,0.013256490059565902,0.13086011569102532,0.0682798686164179,0.12478319436085863,0.03194700556282218,0.023951759519448203,0.1364734097430154,0.17990149400723426,0.06892993461353794,0.07004395539106838,0.02943530923570452,0.17408849502387114,0.16338016131601407,0.11825397959584968,0.14129613723943002,0.14225528374016236,0.06976365967418993,0.29245773539101944,0.22667851729279725,0.11219391868887793
X,0.1988328767090984,0.010376229792545941,0.0770709175306741,0.053712467559018026,0.04775153783935501,0.02441269765160184,0.09474248695116175,0.24133499646185608,0.20556641964988964,0.1407218504641144,0.1757595771725869,0.26280008901101215,0.14820511586520843,0.04269658209204641,0.11364506438959479,0.0038301659603264815,0.07425235058153386,0.09479788558795198,0.0713277688350708,0.2693599973667129,0.28865474914333533,0.06078622197995595,0.17922289049561782,0.23827104440611804,0.20016125469369472,0.1384720972273853
Y,0.047564053168463655,0.014895807442425113,0.08288247451131348,0.12630344676405283,0.05553718804770077,0.14228166351561064,0.03890530673794196,0.26643399243196425,0.1806672180349298,0.26380238299960823,0.048792862508023865,0.017925766832801733,0.09809835188936877,0.04767198954667347,0.0919648959106521,0.11053570933227999,0.05346984520095292,0.11941759343788101,0.1689180277737251,0.05382491103060029,0.15909719487730323,0.13955479117528102,0.09884409702272168,0.10380693998106441,0.19003431507665447,0.008990826567991708
Z,0.1112348785396491,0.0720731928511266,0.03248838865266553,0.09219549844863363,0.03735433336863473,0.024708098292392903,0.14880766204299037,0.2303625753856693,0.03796449321850604,0.03468479238539562,0.09287611803889081,0.13412352242804712,0.04194831031868664,0.05195426774029828,0.27576845838824626,0.18103238782552386,0.3128573758309211,0.19694954138480147,0.03818448284564019,0.058225890001998834,0.4582803527912975,0.07725997102716459,0.1925782464929153,0.2784656565645899,0.4352268258264347,0.13915120151013155
